price,rating,totalReviews,hybrid_feature1,hybrid_feature2
15.52,4.5,135.0,155.02,2090.7
17.1,4.6,302.0,323.70000000000005,5159.6
8.99,4.4,506.0,519.39,4544.540000000001
13.0,4.5,317.0,334.5,4116.5
28.99,4.5,1187.0,1220.49,34406.63
16.99,4.4,4627.0,4648.389999999999,78608.33
30.32,4.5,685.0,719.82,20764.7
8.99,4.4,404.0,417.39,3627.56
3.5,3.9,42.0,49.4,143.1
24.99,4.3,8960.0,8989.289999999999,223906.1
9.99,4.7,21518.0,21532.690000000002,214960.12
15.75,4.4,114.0,134.15,1791.1
15.57,4.4,2849.0,2868.9700000000003,44354.53
6.62,4.6,24232.0,24243.219999999998,160411.24
13.27,4.5,333.0,350.77,4414.41
8.99,4.5,3853.0,3866.49,34633.97
3.99,4.4,997.0,1005.39,3973.63
8.0,4.5,2517.0,2529.5,20131.5
6.18,4.6,4185.0,4195.780000000001,25858.7
24.8,4.7,845.0,874.5,20951.3
10.48,4.3,2815.0,2829.78,29496.9
9.99,4.1,1193.0,1207.09,11913.97
9.74,4.6,19824.0,19838.34,193081.16
11.08,5.0,10.0,26.08,105.8
7.9,4.2,7882.0,7894.099999999999,62263.600000000006
8.98,4.1,73.0,86.08,651.44
9.59,4.3,188.0,201.89000000000001,1798.6200000000001
16.78,4.5,4931.0,4952.28,82737.68000000001
13.99,4.3,5965.0,5983.29,83446.05
11.99,4.4,1209.0,1225.39,14491.51
17.4,4.2,233.0,254.6,4050.0
4.19,4.7,39332.0,39340.89,164796.38
28.99,4.3,6571.0,6604.29,190488.99
28.04,4.5,976.0,1008.54,27362.54
12.99,4.4,7982.0,7999.389999999999,103681.78000000001
24.95,4.5,8514.0,8543.45,212419.8
18.95,4.4,15761.0,15784.35,298666.55
15.99,4.8,204.0,224.79000000000002,3257.16
10.67,4.5,10666.0,10681.17,113801.72
13.66,4.5,10666.0,10684.16,145693.06
8.73,4.7,2104.0,2117.43,18363.22
3.06,4.5,1428.0,1435.56,4365.18
8.99,4.5,6373.0,6386.49,57288.770000000004
8.99,4.5,4824.0,4837.49,43363.26
21.99,4.4,15253.0,15279.39,335409.06999999995
16.81,4.3,28.0,49.11,466.37999999999994
8.09,4.4,431.0,443.48999999999995,3482.39
10.58,4.5,2456.0,2471.08,25979.98
14.95,4.6,27959.0,27978.55,417982.45
19.83,4.3,4823.0,4847.13,95635.79
28.99,4.5,2199.0,2232.49,63744.509999999995
24.99,3.9,25769.0,25797.890000000003,643963.4099999999
13.97,4.7,8160.0,8178.67,113990.50000000001
13.99,4.7,870.0,888.69,12166.6
16.68,4.5,2566.0,2587.18,42796.38
13.47,4.7,3226.0,3244.1699999999996,43449.520000000004
10.97,4.7,11473.0,11488.67,125854.11000000002
10.97,4.7,28593.0,28608.670000000002,313660.51
10.97,4.7,4629.0,4644.67,50775.43000000001
20.48,4.6,480.0,505.08000000000004,9825.8
21.95,4.7,1313.0,1339.65,28815.649999999998
21.56,4.4,3014.0,3039.96,64977.439999999995
14.3,4.6,342.0,360.90000000000003,4886.0
27.49,4.4,305.0,336.89,8380.05
12.0,4.6,441.0,457.6,5287.4
24.99,4.5,561.0,590.49,14014.89
6.99,4.4,2648.0,2659.39,18505.12
9.99,4.5,2196.0,2210.49,21933.54
6.29,4.6,5433.0,5443.89,34168.97
14.99,4.2,52.0,71.19,775.28
10.0,4.4,3848.0,3862.4,38475.6
9.97,4.0,31.0,44.97,305.07
11.8,4.4,2058.0,2074.2000000000003,24280.0
2.41,4.6,3050.0,3057.0099999999998,7345.9
3.14,4.8,33709.0,33716.94,105841.46
20.04,4.7,1728.0,1752.74,34624.42
13.1,4.7,15595.0,15612.800000000001,204289.8
13.5,4.6,293.0,311.1,3950.9
13.0,4.4,97.0,114.4,1256.6
6.95,3.2,23.0,33.15,156.65
9.99,4.2,1475.0,1489.19,14731.05
19.9,4.7,16241.0,16265.6,323191.19999999995
9.99,4.2,15096.0,15110.19,150804.84
9.99,4.2,4383.0,4397.19,43781.97
9.98,4.2,4029.0,4043.18,40205.22
12.98,4.5,2587.0,2604.48,33574.76
10.29,4.4,679.0,693.6899999999999,6982.51
9.5,4.8,2946.0,2960.3,27982.2
6.49,4.6,240.0,251.09,1553.0000000000002
17.06,4.4,2122.0,2143.46,36196.92
16.17,3.9,21.0,41.07,335.6700000000001
6.99,4.7,10383.0,10394.69,72572.47
8.99,4.6,6628.0,6641.59,59581.12
6.88,4.5,2996.0,3007.38,20607.98
7.49,4.6,997.0,1009.09,7462.93
19.99,4.8,251.0,275.79,5012.69
9.99,4.6,15715.0,15729.59,156988.25
13.97,3.9,17159.0,17176.870000000003,239707.33000000002
12.99,4.6,29201.0,29218.59,379316.39
11.93,4.5,76739.0,76755.43,915491.77
16.99,4.6,18466.0,18487.59,313732.74
8.97,4.4,3761.0,3774.37,33731.770000000004
12.53,4.7,56788.0,56805.229999999996,711548.9400000001
25.95,4.6,3822.0,3852.5499999999997,99176.29999999999
18.49,4.5,3734.0,3756.99,69037.15999999999
13.49,4.7,9833.0,9851.19,132642.47
16.99,4.7,76016.0,76037.69,1291507.14
16.02,4.6,25457.0,25477.62,407816.54000000004
17.3,4.7,19133.0,19155.0,330996.2
12.37,4.6,201.0,217.97,2481.77
8.99,4.5,5874.0,5887.49,52802.76
17.78,4.8,122440.0,122462.58,2176978.4000000004
14.04,4.7,45741.0,45759.74,642198.9400000001
15.38,4.6,38891.0,38910.979999999996,598138.9800000001
18.99,4.6,4804.0,4827.59,91223.35999999999
13.97,4.4,50257.0,50275.37,702085.89
19.99,4.7,6991.0,7015.69,139745.38999999998
12.89,4.4,11233.0,11250.289999999999,144788.97
12.43,4.7,2386.0,2403.1299999999997,29653.28
14.22,4.6,23750.0,23768.82,337720.4
11.97,4.4,5383.0,5399.37,64430.11
13.55,4.5,13345.0,13363.05,180820.25
11.65,4.5,7613.0,7629.15,88686.95
11.97,4.7,16319.0,16335.67,195333.73
7.19,4.4,1527.0,1538.5900000000001,10974.730000000001
13.97,4.6,8107.0,8125.570000000001,113250.19
12.99,4.4,17927.0,17944.390000000003,232867.33000000002
24.98,4.7,6885.0,6914.679999999999,171982.6
15.16,4.6,3172.0,3191.7599999999998,48082.920000000006
3.88,4.8,5329.0,5337.68,20671.72
3.29,4.6,13153.0,13160.890000000001,43268.770000000004
1.43,4.7,4085.0,4091.1299999999997,5836.85
3.24,4.7,7879.0,7886.94,25523.260000000002
19.91,4.4,14381.0,14405.31,286321.31
53.01,4.3,39.0,96.30999999999999,2063.0899999999997
35.55,4.1,47.0,86.64999999999999,1666.75
9.78,4.6,35910.0,35924.38,351195.2
17.94,4.7,2998.0,3020.64,53779.420000000006
5.36,4.5,9475.0,9484.86,50781.5
7.27,4.6,24763.0,24774.87,180022.40999999997
19.5,4.6,271.0,295.1,5279.9
9.99,4.3,1330.0,1344.29,13282.400000000001
9.99,4.6,25850.0,25864.59,258236.9
19.0,4.6,2021.0,2044.6,38394.4
17.28,4.6,1044.0,1065.8799999999999,18035.72
24.07,4.7,1312.0,1340.77,31575.14
18.0,4.7,2258.0,2280.7,40639.3
6.9,4.5,624.0,635.4,4301.1
21.85,4.7,403.0,429.55,8800.85
22.88,4.7,1358.0,1385.5800000000002,31066.339999999997
21.65,4.7,2622.0,2648.35,56761.6
28.31,5.0,1.0,34.31,23.31
7.7,4.3,2096.0,2108.0,16134.900000000001
19.47,4.8,4827.0,4851.27,93976.88999999998
7.24,4.7,1527.0,1538.94,11050.779999999999
11.78,4.7,14984.0,15000.480000000001,176506.81999999998
20.63,4.8,8709.0,8734.429999999998,179661.87
20.63,4.7,5979.0,6004.33,123342.06999999999
21.29,4.6,716.0,741.89,15239.039999999999
21.65,4.5,2472.0,2498.15,53514.299999999996
14.56,4.5,2067.0,2086.06,30091.02
11.0,4.5,14836.0,14851.5,163191.5
14.5,4.6,443.0,462.1,6418.9
15.8,4.6,1684.0,1704.3999999999999,26602.600000000002
27.0,4.7,34.0,65.7,913.3
18.9,4.4,130.0,153.3,2452.6
18.73,4.3,1505.0,1528.03,28184.350000000002
19.2,4.6,23713.0,23736.8,455285.0
15.92,4.6,47649.0,47669.52,758567.48
4.98,4.5,3599.0,3608.48,17918.52
12.15,4.6,189.0,205.75,2291.75
17.0,4.4,493.0,514.4,8376.6
19.0,4.4,2632.0,2655.4,50003.6
5.89,4.3,183.0,193.19,1073.57
10.29,4.2,233.0,247.48999999999998,2393.37
15.0,4.4,922.0,941.4,13825.6
18.79,4.7,2623.0,2646.49,49281.47
11.49,4.6,1250.0,1266.09,14357.9
15.13,4.5,977.0,996.63,14777.51
16.41,4.5,5931.0,5951.91,97323.21
16.19,4.2,1368.0,1388.39,22143.72
10.94,4.5,2115.0,2130.44,23133.6
16.84,4.0,2374.0,2394.84,39974.159999999996
11.99,4.5,32428.0,32444.49,388807.22000000003
15.99,4.6,22869.0,22889.59,365670.71
23.99,4.6,7865.0,7893.59,188676.74999999997
15.88,4.2,36496.0,36516.079999999994,579552.28
20.26,4.7,1583.0,1607.96,32066.88
19.0,4.5,382.0,405.5,7253.5
23.0,4.7,20654.0,20681.7,475037.3
15.98,4.6,3207.0,3227.58,51243.26
20.99,4.5,949.0,974.49,19915.01
23.97,4.6,115.0,143.57,2751.95
20.94,4.8,1995.0,2020.74,41770.5
7.75,4.6,6667.0,6679.35,51664.65
15.01,4.7,389.0,408.71,5834.1900000000005
17.8,4.4,297.0,319.2,5282.200000000001
26.5,4.3,4985.0,5015.8,132098.2
8.99,4.3,23135.0,23148.29,207979.35
11.04,4.4,5490.0,5505.44,60605.2
16.99,4.5,7492.0,7513.49,127284.57999999999
36.0,4.3,3139.0,3179.3,112999.7
33.5,4.6,920.0,958.1,30815.4
4.99,4.8,5119.0,5128.79,25539.010000000002
4.97,4.7,5485.0,5494.67,27255.749999999996
9.57,4.7,130.0,144.26999999999998,1239.4
3.97,4.6,2709.0,2717.5699999999997,10750.130000000001
16.99,4.4,18337.0,18358.390000000003,311541.2299999999
24.19,4.4,18337.0,18365.59,443567.63
13.99,4.8,572.0,590.79,7997.48
7.95,4.5,222.0,234.45,1760.4
62.02,4.5,764.0,830.52,47378.78
27.73,4.5,1136.0,1168.23,31496.78
24.99,4.6,583.0,612.59,14564.569999999998
14.0,4.6,5926.0,5944.6,82959.4
15.5,4.6,2139.0,2159.1,33149.9
12.82,4.5,4157.0,4174.32,53288.24
42.3,4.3,401.0,447.6,16958.0
11.95,4.6,3336.0,3352.5499999999997,39860.6
6.4,4.5,22941.0,22951.9,146817.9
19.72,4.4,14381.0,14405.119999999999,283588.92
24.99,4.5,1190.0,1219.49,29733.6
13.59,4.6,158.0,176.19,2142.62
5.69,4.3,4354.0,4363.99,24769.960000000003
29.9,4.8,3377.0,3411.7000000000003,100967.49999999999
11.95,4.7,5334.0,5350.65,63736.6
9.95,4.5,3249.0,3263.45,32323.05
15.94,4.6,376.0,396.54,5988.839999999999
9.95,4.5,3249.0,3263.45,32323.05
20.95,4.4,23754.0,23779.350000000002,497641.89999999997
17.49,4.4,2546.0,2567.89,44525.13999999999
34.49,4.4,285.0,323.89,9825.250000000002
26.94,4.3,1069.0,1100.24,28794.56
36.24,4.7,8952.0,8992.94,324415.78
23.8,4.6,1891.0,1919.3999999999999,45001.200000000004
10.39,4.3,5315.0,5329.6900000000005,55218.55
17.67,4.9,15.0,37.57,260.15000000000003
7.49,4.7,189.0,201.19,1410.91
3.71,4.3,1425.0,1433.01,5282.45
3.81,4.5,4188.0,4196.31,15951.78
8.05,4.3,2061.0,2073.3500000000004,16586.750000000004
5.55,4.6,130.0,140.15,716.9
4.44,4.8,31.0,40.239999999999995,132.84
17.12,4.4,33.0,54.52,560.5600000000001
38.95,4.0,65.0,107.95,2527.75
8.93,4.7,58786.0,58799.63,524954.28
11.02,4.2,4586.0,4601.22,50533.520000000004
12.6,4.6,25718.0,25735.199999999997,324042.2
9.99,4.3,29.0,43.29,285.40999999999997
14.23,4.3,671.0,689.53,9544.03
10.49,4.5,1365.0,1379.99,14314.35
42.0,4.7,125.0,171.7,5245.3
9.76,4.8,5815.0,5829.56,56749.6
9.68,4.7,12443.0,12457.380000000001,120443.54
11.99,4.6,3920.0,3936.5899999999997,46996.200000000004
1.97,4.0,176.0,181.97,342.71999999999997
45.46,4.2,144.0,193.66,6542.04
13.89,4.3,6825.0,6843.1900000000005,94794.95
19.72,4.4,25041.0,25065.120000000003,493804.11999999994
13.99,4.5,940.0,958.49,13146.1
18.97,4.5,1273.0,1296.47,24144.309999999998
12.78,4.6,3892.0,3909.38,49735.159999999996
8.99,4.3,17719.0,17732.29,159289.51
21.25,4.7,1929.0,1954.95,40986.55
18.2,4.6,855.0,877.8000000000001,15556.4
21.99,4.4,135.0,161.39000000000001,2964.2499999999995
22.75,4.5,380.0,407.25,8640.5
16.95,4.3,3594.0,3615.25,60913.99999999999
24.95,4.4,18177.0,18206.350000000002,453511.74999999994
18.89,4.6,274.0,297.49,5171.26
14.5,4.5,210.0,229.0,3040.5
4.39,4.5,147.0,155.89,640.8299999999999
24.0,4.7,21193.0,21221.7,508627.3
8.99,4.5,1911.0,1924.49,17175.39
7.99,4.6,28.0,40.59,219.12
10.47,4.8,33564.0,33579.270000000004,351410.28
14.03,4.4,1126.0,1144.43,15793.38
30.99,4.9,50.0,85.89,1544.6
14.99,4.6,14885.0,14904.59,223121.55
36.94,4.5,164.0,205.44,6053.66
26.97,4.4,27603.0,27634.370000000003,744448.5099999999
11.59,4.4,3029.0,3044.9900000000002,35101.71
8.83,4.6,51.0,64.42999999999999,445.72999999999996
17.47,4.3,7094.0,7115.77,123927.87999999999
15.99,4.6,14476.0,14496.59,231466.63999999998
13.97,4.3,13136.0,13154.269999999999,183505.62000000002
39.98,4.6,311.0,355.58000000000004,12429.179999999998
36.0,4.7,203.0,243.7,7303.3
9.99,4.6,496.0,510.59000000000003,4950.44
12.99,4.7,742.0,759.69,9633.88
8.66,4.7,8741.0,8754.36,75692.36
8.89,4.8,7196.0,7209.6900000000005,63967.64
8.99,4.0,2152.0,2164.99,19342.48
14.85,4.3,1606.0,1625.1499999999999,23844.8
12.84,4.5,4143.0,4160.34,53191.62
13.25,4.2,2718.0,2735.45,36009.3
16.21,4.5,7021.0,7041.71,113805.91
8.98,4.5,56614.0,56627.48,508389.22000000003
11.96,4.3,18438.0,18454.26,220514.18000000002
8.49,4.4,1922.0,1934.89,16313.380000000001
21.4,4.5,44397.0,44422.9,950091.2999999999
25.97,4.4,1131.0,1161.3700000000001,29367.67
9.99,4.5,6822.0,6836.49,68147.28
15.71,4.3,9964.0,9984.009999999998,156530.14
20.16,4.5,38638.0,38662.66,778937.58
13.93,4.6,4180.0,4198.530000000001,58222.8
6.42,4.4,4560.0,4570.82,29270.8
8.97,4.5,3947.0,3960.47,35400.090000000004
5.49,4.3,1391.0,1400.79,7632.29
8.98,4.5,1165.0,1178.48,10457.2
19.2,4.7,1053.0,1076.9,20212.899999999998
9.7,4.2,1268.0,1281.9,12295.399999999998
15.98,4.3,1146.0,1166.28,18308.780000000002
14.39,4.7,130.0,149.08999999999997,1866.0
10.36,4.3,6327.0,6341.66,65543.42
14.59,4.5,4193.0,4212.09,61171.37
14.95,4.3,20559.0,20578.25,307352.75
24.95,4.3,5205.0,5234.25,129860.45
18.89,4.7,1628.0,1651.5900000000001,30748.22
22.95,4.3,19.0,46.25,431.75
40.45,4.5,1398.0,1442.95,56544.600000000006
10.99,4.3,563.0,578.29,6183.07
11.99,4.5,3603.0,3619.49,43195.47
9.98,4.4,77635.0,77649.37999999999,774792.9
9.39,4.4,1371.0,1384.7900000000002,12869.29
14.97,4.7,2400.0,2419.6699999999996,35923.3
13.0,4.3,40.0,57.3,515.7
38.0,4.7,295.0,337.7,11205.3
23.0,4.7,541.0,568.7,12438.3
24.97,4.5,2314.0,2343.47,57776.079999999994
24.71,4.3,13.0,42.01,316.93
17.1,4.4,4000.0,4021.5,68395.6
32.0,4.5,1781.0,1817.5,56987.5
20.0,4.6,144.0,168.6,2875.4
12.95,4.6,5174.0,5191.55,66998.7
36.8,4.8,2333.0,2374.6000000000004,85849.59999999999
28.8,4.7,5356.0,5389.5,154248.1
34.45,4.3,564.0,602.75,19425.500000000004
18.99,4.5,10762.0,10785.49,204365.87999999998
20.98,4.7,1783.0,1808.68,37402.64000000001
17.99,4.6,104.0,126.58999999999999,1866.36
18.99,4.7,830.0,853.69,15756.999999999998
9.99,4.3,1065.0,1079.29,10635.050000000001
11.99,4.3,6768.0,6784.29,81144.02
15.15,4.5,136.0,155.65,2055.9
8.65,4.7,17464.0,17477.350000000002,151058.9
8.98,4.7,8062.0,8075.679999999999,72392.06000000001
8.94,4.6,462.0,475.54,4125.679999999999
9.75,4.5,4616.0,4630.25,45001.5
9.66,4.6,21451.0,21465.26,207212.06
5.74,4.6,2561.0,2571.3399999999997,14695.54
5.74,4.6,5277.0,5287.34,30285.38
6.49,4.6,11125.0,11136.09,72196.65
16.54,4.2,426.0,446.74,7041.84
14.99,4.5,559.0,578.49,8374.91
8.99,4.7,7734.0,7747.69,69523.96
16.19,4.5,18474.0,18494.69,299089.56
16.69,4.4,5320.0,5341.089999999999,88786.40000000001
17.39,4.6,44076.0,44097.99,766477.04
15.5,4.6,82076.0,82096.1,1272173.4
16.09,4.6,9441.0,9461.69,151901.09
14.97,4.6,7419.0,7438.570000000001,111057.83
15.94,4.6,17725.0,17745.539999999997,282531.9
10.05,4.7,24837.0,24851.75,249607.15
33.24,4.3,3075.0,3112.54,102208.7
29.91,4.6,1581.0,1615.51,47283.11
9.14,4.5,5709.0,5722.64,52175.76
9.12,4.5,13576.0,13589.62,123808.62
7.98,4.6,10840.0,10852.58,86498.6
19.47,4.7,10159.0,10183.17,197791.02999999997
8.42,4.6,5840.0,5853.02,49168.200000000004
9.54,4.6,9830.0,9844.140000000001,93773.59999999999
16.99,4.3,6171.0,6192.29,104840.98999999999
17.52,4.4,20968.0,20989.920000000002,367354.95999999996
15.79,4.4,15966.0,15986.19,252098.74
17.4,4.1,702.0,723.5,12210.699999999999
9.11,4.7,16304.0,16317.810000000001,148524.74
23.97,4.5,13800.0,13828.47,330781.5
9.14,4.7,3741.0,3754.8399999999997,34188.04000000001
5.18,4.5,7114.0,7123.68,36846.02
16.99,4.6,442.0,463.59000000000003,7504.979999999999
8.33,4.6,34366.0,34378.93,286264.18000000005
9.97,4.5,587.0,601.47,5847.89
17.95,4.5,47041.0,47063.45,844381.45
7.99,4.5,25960.0,25972.49,207415.9
9.71,4.6,6589.0,6603.31,63974.590000000004
5.49,4.7,15544.0,15554.19,85331.86
8.99,4.5,2287.0,2300.49,20555.63
17.98,4.7,132.0,154.67999999999998,2368.6600000000003
12.93,4.5,1473.0,1490.43,19041.39
18.0,4.5,1026.0,1048.5,18463.5
5.1,4.5,1072.0,1081.6,5462.7
10.95,4.7,684.0,699.6500000000001,7485.099999999999
16.9,4.4,326.0,347.29999999999995,5505.0
22.6,4.4,1415.0,1442.0,31974.600000000002
15.9,4.4,3342.0,3362.3,53133.4
13.47,4.3,14635.0,14652.769999999999,197129.15000000002
6.97,4.7,49394.0,49405.67,344271.48
6.99,4.6,12698.0,12709.59,88754.42
18.67,4.5,26727.0,26750.17,498988.59
4.76,4.2,10.0,18.96,43.39999999999999
6.47,4.7,4307.0,4318.17,27861.589999999997
6.99,4.2,169.0,180.19,1177.11
40.95,4.7,1113.0,1158.65,45572.65000000001
24.97,4.5,2305.0,2334.47,57551.35
20.66,4.7,5316.0,5341.36,109823.86
29.99,4.6,5770.0,5804.59,173037.69999999998
29.94,4.1,15.0,49.04,445.0
9.8,4.3,1604.0,1618.1,15714.900000000001
19.79,4.5,4092.0,4116.29,80976.18
16.96,4.5,2594.0,2615.46,43989.740000000005
35.5,4.4,1789.0,1828.9,63505.1
24.99,4.4,820.0,849.39,20487.399999999998
40.95,4.6,401.0,446.55,16416.350000000002
48.0,4.5,208.0,260.5,9979.5
6.23,4.6,14.0,24.83,82.62
6.99,4.0,871.0,881.99,6084.29
9.99,4.5,7384.0,7398.49,73761.66
8.99,4.6,18693.0,18706.59,168045.47
15.95,4.6,733.0,753.5500000000001,11686.75
42.0,4.7,2227.0,2273.7,93529.3
9.99,4.4,6193.0,6207.389999999999,61863.67
28.5,3.8,11620.0,11652.3,331166.2
38.0,4.8,2729.0,2771.8,103697.2
8.49,4.8,7.0,20.29,54.63
13.07,4.6,169.0,186.67,2204.23
6.95,3.4,98.0,108.35000000000001,677.7
13.99,4.4,73.0,91.39,1016.87
33.99,4.3,2881.0,2919.29,97920.89
9.99,4.3,14349.0,14363.289999999999,143342.21000000002
16.99,4.4,2553.0,2574.39,43371.06999999999
11.89,4.4,5925.0,5941.29,70443.85
15.63,4.6,1711.0,1731.23,26738.33
9.49,4.5,609.0,622.99,5774.91
15.1,4.7,650.0,669.8000000000001,9810.3
15.48,4.6,3982.0,4002.08,61636.76
9.34,4.4,204.0,217.74,1900.9599999999998
19.99,4.4,9571.0,9595.39,191319.88999999998
12.99,4.8,397.0,414.79,5152.23
17.9,4.5,6963.0,6985.4,124633.2
18.99,4.3,7131.0,7154.29,135413.39
21.84,4.5,8132.0,8158.34,177598.38
9.99,4.4,4351.0,4365.389999999999,43462.09
20.07,4.5,17318.0,17342.57,347567.76
19.89,4.6,6605.0,6629.490000000001,131368.85
20.06,4.4,11637.0,11661.46,233433.81999999998
14.23,4.3,26813.0,26831.53,381544.69
11.88,4.6,4838.0,4854.4800000000005,57470.840000000004
15.99,4.5,592.0,612.49,9461.58
15.99,4.4,968.0,988.39,15473.92
18.19,4.5,709.0,731.69,12892.210000000001
20.0,4.6,1702.0,1726.6,34035.4
17.0,4.5,584.0,605.5,9923.5
14.95,4.4,893.0,912.35,13345.949999999999
14.99,4.6,10.0,29.590000000000003,145.3
14.0,4.7,1337.0,1355.7,18713.3
5.94,4.6,183352.0,183362.54,1089106.28
7.98,4.6,1030.0,1042.58,8214.8
15.95,4.3,19365.0,19385.25,308867.45
10.99,4.3,36005.0,36020.29,395690.65
22.98,4.6,999.0,1026.58,22952.420000000002
7.18,4.6,82.0,93.78,584.16
15.82,4.8,37.0,57.62,580.5400000000001
9.29,4.1,152.0,165.39,1407.98
8.99,4.5,4480.0,4493.49,40270.700000000004
15.25,4.4,6701.0,6720.65,102185.85
21.95,4.4,2092.0,2118.35,45915.0
11.0,4.6,6111.0,6126.6,67216.4
27.0,4.7,389.0,420.7,10498.3
16.0,4.7,1732.0,1752.7,27707.3
15.0,4.6,2212.0,2231.6,33175.4
21.0,4.4,11219.0,11244.4,235594.6
9.98,4.7,1282.0,1296.68,12789.66
9.95,4.4,14.0,28.35,134.89999999999998
42.6,5.0,7.0,54.6,293.2
6.47,4.6,42.0,53.07,267.14
9.99,4.7,1498.0,1512.69,14960.32
24.76,4.7,720.0,749.46,17822.5
5.94,4.3,99.0,109.24,583.7600000000001
32.5,4.5,682.0,719.0,22160.5
9.66,4.6,13486.0,13500.26,130270.15999999999
16.49,4.8,19176.0,19197.29,316207.44
11.0,4.8,8010.0,8025.8,88105.2
16.61,4.8,21171.0,21192.41,351645.51
9.99,4.7,151.0,165.69,1503.79
24.99,4.3,258.0,287.29,6443.119999999999
13.98,4.6,1231.0,1249.58,17204.780000000002
9.09,4.3,382.0,395.39,3468.08
11.5,4.7,19643.0,19659.2,225889.8
18.89,4.6,4051.0,4074.49,76518.79
18.39,4.7,2695.0,2718.0899999999997,49556.350000000006
13.2,4.6,312.0,329.8,4113.799999999999
16.5,4.6,423.0,444.1,6974.9
25.9,4.5,7731.0,7761.4,200228.4
7.94,4.7,52416.0,52428.64,416178.34
7.94,4.7,8618.0,8630.640000000001,68422.22
15.49,4.6,2440.0,2460.0899999999997,37791.0
15.49,4.4,32452.0,32471.890000000003,502677.07999999996
13.19,4.3,6915.0,6932.49,91204.54999999999
21.97,4.3,138322.0,138348.27,3038930.04
24.79,4.5,11851.0,11880.29,293781.79
46.0,4.7,2528.0,2578.7,116283.3
29.2,4.7,5414.0,5447.9,158084.09999999998
13.99,4.5,24.0,42.49,331.26
16.2,4.3,15164.0,15184.5,245652.5
11.99,4.7,137.0,153.69,1637.93
9.96,4.6,14226.0,14240.56,141686.36000000002
13.43,4.7,36989.0,37007.13,496757.56999999995
8.99,4.5,361.0,374.49,3240.89
18.9,4.6,85.0,108.5,1601.8999999999999
15.97,4.6,1586.0,1606.57,25323.820000000003
14.0,4.6,838.0,856.6,11727.4
9.88,4.4,735.0,749.28,7257.400000000001
9.88,4.4,5035.0,5049.28,49741.4
15.99,4.7,156.0,176.69,2489.7400000000002
11.99,4.3,1411.0,1427.29,16913.59
15.99,4.3,22838.0,22858.29,365175.32
12.99,4.3,54446.0,54463.29,707249.24
6.49,4.3,5236.0,5246.79,33977.34
14.99,4.5,30047.0,30066.49,450400.03
9.49,4.2,1351.0,1364.69,12816.789999999999
9.99,4.4,7586.0,7600.389999999999,75779.74
24.99,4.3,426.0,455.29,10641.44
38.24,5.0,20.0,63.24,759.8000000000001
36.9,4.7,606.0,647.6,22356.699999999997
9.99,4.3,24024.0,24038.29,239995.46000000002
